Month,PriceLevel,NominalGDP,RealGDP,UnemploymentRate,InterestRate,ExchangeRate,PersonalIncomeTax,VAT,CorpTax,CapitalGainsTax,PropertyTax,TotalTaxes,UBIOutlays,OtherGovSpending,GovernmentDebt,Net,Emigrants,Immigrants,RemainingTaxpayers,AvgETR,SmallFirms,MediumFirms,LargeFirms,TotalInvestment,CorporateProfit,TotalCapacity,AvgWage,LaborForceParticipation,Exports,Imports,TradeBalance,TotalSavings,TotalConsumption,AssetPriceIndex,CreditGrowth
1,1.0020,4000000000000,4000000000000,0.0460,0.0100,0.9950,355571182949.13488010833333334,85535955401.66526000400643334,76438131250.000000000000000000,0,69793750000.00000,587339019600.80014011233976668,0,6750000000000,22100000000000.00,-6162660980399.1998598876602333,58779,14,259941235,0.118254,6000000,300000,8000,96148373750.00000000000000000,557180000000.00000000000000000,1.0000,23193.546130952380952380952381,0.7570,79976047107.35553411623806513,165194317841.57822948201869659,-85218270734.22269536578063146,855748587059.5439047046699999,1221942220023.7894286286633334,1.0300,0.0575
2,1.0040,4000000000000,3992148774077.6472936558102397,0.0470,0.0100,0.9900,354474950582.48055478124999999,85343709943.06722391433266612,76754660920.138888888888888916,10316420160.0000000,69732978862.50000,596622720468.18666758447155503,0,6750000000000,22600000000000.00,-6153377279531.8133324155284450,58660,11,259882586,0.118210,6000000,300000,8000,100504792913.97569444444444448,559487277777.77777777777777797,1.0000,23192.388392857142857142857143,0.7570,80216234232.47180351193783704,164897580835.92293825688212315,-84681346603.45113474494428611,856183000753.8015631285809603,1219195856329.5317702047523730,1.0609,0.0575
3,1.0060,4000000000000,3984117457303.3000579556479792,0.0480,0.0100,0.9851,353379178975.81551683437500000,85152067290.26909085543593006,77075430316.798770254629629612,20904555832.650000000,69672324695.31250,606183557110.84587794444055967,0,6750000000000,23100000000000.00,-6143816442889.1541220555594403,58653,14,259823947,0.118165,6000000,300000,8000,100925357046.77598603877314813,561825460168.00925925925925913,1.0000,23191.230654761904761904761905,0.7569,80455755667.23488618529495003,164601666251.37786523696921733,-84145910584.14297905167426730,856611601269.9653687318676657,1216458104146.7012979347990009,1.0927,0.0575
4,1.0081,4000000000000,3976033752302.2072310613959854,0.0470,0.0100,0.9801,353218805598.61230235807291666,85235873975.75842094134489936,77078718979.182133650264056676,31772061598.39425000000,69611785367.18750,616917245519.13460694968187270,0,6750000000000,23600000000000.00,-6133082754480.8653930503181273,58325,11,259765633,0.118122,6000000,300000,8000,100929668846.64758878419055124,561849432194.49391271263093704,1.0000,23192.388392857142857142857143,0.7569,80695275175.82033774330395422,164305754046.51147957670018970,-83610478870.69114183339623548,853124414572.4987484569776282,1217655342510.8345848763557052,1.1255,0.0575
5,1.0101,4000000000000,3967931186701.0892957542225348,0.0480,0.0100,0.9752,352130828232.77247431354166667,85046980833.01912329102737007,77402243254.693665214009866157,42927374930.3618625000000,69551632909.37500,627059060160.22212531857890290,0,6750000000000,24100000000000.00,-6122940939839.7778746814210971,58007,19,259707645,0.118078,6000000,300000,8000,101353844930.11174816764879578,564207695706.19528174221314739,1.0000,23191.230654761904761904761905,0.7569,80935065604.82098827012909251,164009507135.47490217875066360,-83074441530.65391390862157109,853544244290.2030006043709038,1214956869043.1303327289624296,1.1593,0.0575
6,1.0122,4000000000000,3959823500945.9353699909823271,0.0470,0.0100,0.9704,351977493000.04799054947916666,85133714743.41770414941728001,77407353035.760944531458461273,54378660729.275386350000000,69491824898.43750,638389046406.93952558035490794,0,6750000000000,24600000000000.00,-6111610953593.0604744196450921,58101,11,259649555,0.118034,6000000,300000,8000,101360544417.86131766665229537,564244942401.90210136826213228,1.0000,23192.388392857142857142857143,0.7569,81175266395.67893755499264476,163712753246.60297648156066767,-82537486850.92403892656802291,850024308010.6994645321340951,1216195924905.9672021345325715,1.1941,0.0575
7,1.0143,4000000000000,3951717670718.2324807410058024,0.0480,0.0100,0.9655,350893481502.67055265572916667,84947635003.18568590266665222,77732290318.122536070644794823,66133790327.96826872400000000,69431880873.43750,649139078025.38454335304061371,0,6750000000000,25100000000000.00,-6100860921974.6154566469593863,57615,11,259591951,0.117991,6000000,300000,8000,101786573109.48175466340121148,566613505735.74513764479121511,1.0000,23191.230654761904761904761905,0.7569,81415958931.87637082487777880,163415391835.41064003748460775,-81999432903.53426921260682895,850419236264.0140109142859207,1213537642902.6526557523807460,1.2299,0.0575
8,1.0164,4000000000000,3943617722314.719211097686398,0.0470,0.0100,0.9607,350742751773.66741020963541665,85037175505.96676485123326527,77738597000.070939248530507410,78202378305.017346658177500000,69372547090.62500,661093449675.34746096757668933,0,6750000000000,25600000000000.00,-6088906550324.6525390324233107,57356,6,259534601,0.117948,6000000,300000,8000,101794841866.57671467361414742,566659476993.68338404395814057,1.0000,23192.388392857142857142857143,0.7569,81657195240.37543479576174076,163117358625.65930060590167637,-81460163385.28386581013993561,846898727057.6176449823819247,1214816792942.3823550176180753,1.2668,0.0575
9,1.0185,4000000000000,3935526187943.5423807225287575,0.0480,0.0100,0.9559,349671489497.40807683515625000,84854930225.09583364014546823,78064602771.213527585491572303,90594092841.19116662563110000,69313432350.00000,672498547684.90860468642439053,0,6750000000000,26100000000000.00,-6077501452315.0913953135756095,57355,9,259477255,0.117904,6000000,300000,8000,102222271465.08623134612407090,569035828856.22616918809346553,1.0000,23191.230654761904761904761905,0.7568,81899010896.38350212530362736,162818609666.28161343088528568,-80919598769.89811130558165832,847252150653.3928527598266443,1212213288929.9404805735066890,1.3048,0.0575
10,1.0206,4000000000000,3927444760925.0183999776662956,0.0470,0.0100,0.9511,349523141760.14239488281249999,84947358826.72664914009747141,78071895504.176129614876042599,103315894455.19373055930419325,69254283423.43750,685112573969.67640419709020725,0,6750000000000,26600000000000.00,-6064887426030.3235958029097928,57056,13,259420212,0.117861,6000000,300000,8000,102231833044.04637415244190162,569088987729.75766461868641530,1.0000,23192.388392857142857142857143,0.7568,82141431534.83652661055685422,162519113286.82841762339689809,-80377681751.99189101284004387,843690238308.6669170462265989,1213533697524.6664162871067344,1.3439,0.0575
11,1.0227,4000000000000,3919374626731.5097137987251229,0.0480,0.0100,0.9464,348452677784.53136635468750000,84768164212.89584027479589130,78398831389.899147708565341188,116378404500.74303014236155065,69195412473.43750,697193490361.50688448041028314,0,6750000000000,27100000000000.00,-6052806509638.4931155195897169,57426,11,259362797,0.117818,6000000,300000,8000,102660482125.57389867002205932,571472119470.79105391209360320,1.0000,23191.230654761904761904761905,0.7568,82384476428.76184542247791934,162218845676.61286152048277021,-79834369247.85101609800485087,844001930530.0594246457729814,1210973774469.9405753542270186,1.3842,0.0575
12,1.0248,4000000000000,3911316645150.4486543670687973,0.0470,0.0100,0.9416,348303628040.16585231380208333,84863343262.28629528353755805,78407014680.962042601914777132,129789923758.97647335003522585,69136249356.25000,710500159098.64066354928964436,0,6750000000000,27600000000000.00,-6039499840901.3593364507103556,57050,14,259305761,0.117775,6000000,300000,8000,102671211324.63451843298377293,571531769884.00577750826261235,1.0000,23192.388392857142857142857143,0.7568,82628160589.84575723183934734,161917788289.58323669776919237,-79289627699.73747946592984503,840405361907.8148292827967897,1212333475175.5185040505365436,1.4258,0.0575
