Month,PriceLevel,NominalGDP,RealGDP,UnemploymentRate,InterestRate,ExchangeRate,PersonalIncomeTax,VAT,CorpTax,CapitalGainsTax,PropertyTax,TotalTaxes,UBIOutlays,OtherGovSpending,GovernmentDebt,Net,Emigrants,Immigrants,RemainingTaxpayers,AvgETR,SmallFirms,MediumFirms,LargeFirms,TotalInvestment,CorporateProfit,TotalCapacity,AvgWage,LaborForceParticipation,Exports,Imports,TradeBalance,TotalSavings,TotalConsumption,AssetPriceIndex,CreditGrowth
1,1.0020,4000000000000,4000000000000,0.0460,0.0100,0.9950,349631199150.90763510833333335,94162583321.57635076822643334,77966893875.000000000000000000,0,69793750000.00000,591554426347.48398587655976669,260000000000,6750000000000,22100000000000.00,-6418445573652.5160141234402333,53251,14,259946763,0.118255,6000000,300000,8000,98071341225.00000000000000000,568323600000.00000000000000000,1.0000,23193.546130952380952380952381,0.7570,79976047107.35553411623806513,165194317841.57822948201869659,-85218270734.22269536578063146,732562774096.5283223586700000,1345179761736.8050109746633334,1.0300,0.0575
2,1.0040,4000000000000,3992148774077.6472936558102397,0.0470,0.0100,0.9900,348554411357.00216212760416667,93953296619.09025775575977022,78289754138.541666666666666694,10316679127.5000000,69734911800.00000,600849053042.13408655003060358,259946763000,6750000000000,22600000000000.00,-6409097709957.8659134499693964,53128,11,259893646,0.118211,6000000,300000,8000,102514888772.25520833333333337,570677023333.33333333333333353,1.0000,23192.388392857142857142857143,0.7570,80216234232.47180351193783704,164897580835.92293825688212315,-84681346603.45113474494428611,733292430798.7106034891461396,1342189951701.2893965108538604,1.0609,0.0575
3,1.0060,4000000000000,3984117457303.3000579556479792,0.0480,0.0100,0.9851,347478069947.73432227968750000,93744560668.52282300327021640,78616938923.134745659722222204,20905608534.825000000,69676192953.12500,610421371027.34189094267993860,259893646000,6750000000000,23100000000000.00,-6399472274972.6581090573200614,53037,14,259840623,0.118168,6000000,300000,8000,102943864187.71150575954861109,573061969371.36944444444444431,1.0000,23191.230654761904761904761905,0.7569,80455755667.23488618529495003,164601666251.37786523696921733,-84145910584.14297905167426730,734017902116.3406237628064323,1339208009550.3260429038602343,1.0927,0.0575
4,1.0081,4000000000000,3976033752302.2072310613959854,0.0490,0.0100,0.9801,346404195647.66609649479166667,93537074042.23529106372344189,78945866733.765776323269337810,31774480915.36950000000,69617622134.37500,620279239473.41166388178444637,259840623000,6750000000000,23600000000000.00,-6389561383526.5883361182155536,52725,11,259787909,0.118125,6000000,300000,8000,103375124902.95554055987436226,575459620838.38379096688355579,1.0000,23190.072916666666666666666667,0.7569,80695275175.82033774330395422,164305754046.51147957670018970,-83610478870.69114183339623548,734744188444.2577467087127350,1336243914889.0755866246205984,1.1255,0.0575
5,1.0101,4000000000000,3967931186701.0892957542225348,0.0500,0.0100,0.9752,345337191505.33412771614583334,93331388789.08632318100606971,79275861494.78753851829006348,42931735890.8513250000000,69559418331.25000,630435596011.30931441544196653,259787909000,6750000000000,24100000000000.00,-6379352312988.6906855845580335,52406,19,259735522,0.118083,6000000,300000,8000,103807784508.08898313100177169,577865049620.31918737705741033,1.0000,23188.915178571428571428571429,0.7569,80935065604.82098827012909251,164009507135.47490217875066360,-83074441530.65391390862157109,735456235870.1953831284847184,1333305554129.8046168715152816,1.1593,0.0575
6,1.0122,4000000000000,3959823500945.9353699909823271,0.0510,0.0100,0.9704,344274682050.56547705807291667,93127453203.10197914208944369,79606646846.47616342208763050,54385584413.103725925000000,69501565853.12500,640895932366.37234554724999086,259735522000,6750000000000,24600000000000.00,-6368839589633.6276544527500091,52519,11,259683014,0.118040,6000000,300000,8000,104241480664.96854401998534128,580276241249.94014339562737492,1.0000,23187.757440476190476190476191,0.7569,81175266395.67893755499264476,163712753246.60297648156066767,-82537486850.92403892656802291,736141004300.9241074939603281,1330392188615.7425591727063385,1.1941,0.0575
7,1.0143,4000000000000,3951717670718.2324807410058024,0.0520,0.0100,0.9655,343213275084.66417501302083335,92924879493.34954256834365211,79938082874.48498679205769072,66143921070.67393583025000000,69443575365.62500,651663733888.79764020367217618,259683014000,6750000000000,25100000000000.00,-6358019280111.2023597963278238,51980,12,259631046,0.117997,6000000,300000,8000,104676029930.42138975666923571,582692175850.46004039768703940,1.0000,23186.599702380952380952380952,0.7569,81415958931.87637082487777880,163415391835.41064003748460775,-81999432903.53426921260682895,736824225690.2446299760430651,1327498278476.4220366906236016,1.2299,0.0575
8,1.0164,4000000000000,3943617722314.719211097686398,0.0510,0.0100,0.9607,343067620401.65201960390625000,93027736841.69260646344593106,79944515690.07235803350111756,78216399518.907402960045000000,69386209137.50000,663642481589.82438706089829862,259631046000,6750000000000,25600000000000.00,-6345988564410.1756129391017014,51788,6,259579264,0.117955,6000000,300000,8000,104684464062.65824896708643037,582739066533.55705172483730339,1.0000,23187.757440476190476190476191,0.7569,81657195240.37543479576174076,163117358625.65930060590167637,-81460163385.28386581013993561,733165664999.6294314745819372,1328967669167.0372351920847294,1.2668,0.0575
9,1.0185,4000000000000,3935526187943.5423807225287575,0.0520,0.0100,0.9559,342018822125.08118298567708334,92828982762.50157306633651926,80277041576.63779813720140375,90612692117.95803156702712500,69329044567.18750,675066583149.36608575624213135,259579264000,6750000000000,26100000000000.00,-6334512680850.6339142437578686,51812,11,259527463,0.117913,6000000,300000,8000,105120442253.13795597304655231,585162945433.35069257185533484,1.0000,23186.599702380952380952380952,0.7568,81899010896.38350212530362736,162818609666.28161343088528568,-80919598769.89811130558165832,733806718571.4060990523354392,1326128325178.5939009476645608,1.3048,0.0575
10,1.0206,4000000000000,3927444760925.0183999776662956,0.0510,0.0100,0.9511,341875411509.13746431484375000,92934659595.82749446198861164,80284480164.25965220717356345,103339781891.60260313391942150,69271830579.68750,687706163740.51471411792534659,259527463000,6750000000000,26600000000000.00,-6321821299259.4852858820746534,51534,13,259475942,0.117871,6000000,300000,8000,105130195063.67730163549073966,585217167484.35281791106014361,1.0000,23187.757440476190476190476191,0.7568,82141431534.83652661055685422,162519113286.82841762339689809,-80377681751.99189101284004387,730107472440.5596029239722146,1327637994226.1070637426944520,1.3439,0.0575
