Month,PriceLevel,NominalGDP,RealGDP,UnemploymentRate,InterestRate,ExchangeRate,PersonalIncomeTax,VAT,CorpTax,CapitalGainsTax,PropertyTax,TotalTaxes,UBIOutlays,OtherGovSpending,GovernmentDebt,Net,Emigrants,Immigrants,RemainingTaxpayers,AvgETR,SmallFirms,MediumFirms,LargeFirms,TotalInvestment,CorporateProfit,TotalCapacity,AvgWage,LaborForceParticipation,Exports,Imports,TradeBalance,TotalSavings,TotalConsumption,AssetPriceIndex,CreditGrowth
1,1.0020,4000000000000,4000000000000,0.0460,0.0100,0.9950,346663746384.46151260833333334,98601816480.38874254533643334,78731275187.500000000000000000,0,69793750000.00000,593790588052.35025515366976668,390000000000,6750000000000,22100000000000.00,-6546209411947.6497448463302333,53251,14,259946763,0.118255,6000000,300000,8000,99032824962.50000000000000000,573895400000.00000000000000000,1.0000,23193.546130952380952380952381,0.7570,79976047107.35553411623806513,165194317841.57822948201869659,-85218270734.22269536578063146,669145157542.0655826856700000,1408597378291.2677506476633334,1.0300,0.0575
2,1.0040,4000000000000,3992148774077.6472936558102397,0.0470,0.0100,0.9900,345592465332.33666525260416666,98382543342.84034312558384010,79057300747.743055555555555584,10316679127.5000000,69734911800.00000,603083900350.42006393374356234,389920144500,6750000000000,22600000000000.00,-6536836244149.5799360662564377,53128,11,259893646,0.118211,6000000,300000,8000,103519936701.39496527777777782,576271896111.11111111111111132,1.0000,23192.388392857142857142857143,0.7570,80216234232.47180351193783704,164897580835.92293825688212315,-84681346603.45113474494428611,670017477602.2808124916594272,1405464904897.7191875083405728,1.0609,0.0575
3,1.0060,4000000000000,3984117457303.3000579556479792,0.0480,0.0100,0.9851,344521624105.30834540468750000,98163796259.98700304068408580,79387693226.30273336226851850,20905608534.825000000,69676192953.12500,612654915079.54808180764010430,389840469000,6750000000000,23100000000000.00,-6527185553920.4519181923598957,53037,16,259840625,0.118168,6000000,300000,8000,103953117758.17926561993634257,578680223973.04953703703703691,1.0000,23191.230654761904761904761905,0.7569,80455755667.23488618529495003,164601666251.37786523696921733,-84145910584.14297905167426730,670885971762.0904327521321076,1402339946571.2429005812012257,1.0927,0.0575
4,1.0081,4000000000000,3976033752302.2072310613959854,0.0490,0.0100,0.9801,343453244345.89044682552083334,97946296006.10990652514102867,79719845819.39093099310531171,31774480915.36950000000,69617622351.56250,622511489438.32328434376717372,389760937500,6750000000000,23600000000000.00,-6517249448061.6767156562328263,52725,11,259787911,0.118125,6000000,300000,8000,104388606519.65118311438293444,581101381826.99539676067653183,1.0000,23190.072916666666666666666667,0.7569,80695275175.82033774330395422,164305754046.51147957670018970,-83610478870.69114183339623548,671755309912.7156210694138761,1399232800087.2843789305861239,1.1255,0.0575
5,1.0101,4000000000000,3967931186701.0892957542225348,0.0500,0.0100,0.9752,342391722748.36827978125000000,97730602501.58728340656403361,80053075823.16780850376349548,42931735890.8513250000000,69559418548.43750,632666555512.41219669157752909,389681866500,6750000000000,24100000000000.00,-6507015310987.5878033084224709,52406,19,259735524,0.118083,6000000,300000,8000,104825507885.61926727934492632,583530393244.04780686114620848,1.0000,23188.915178571428571428571429,0.7569,80935065604.82098827012909251,164009507135.47490217875066360,-83074441530.65391390862157109,672610332358.2769037157519009,1396151464308.3897629509147658,1.1593,0.0575
6,1.0122,4000000000000,3959823500945.9353699909823271,0.0510,0.0100,0.9704,341334684555.70111148255208334,97516667485.92854373499699303,80387104168.50043953406888178,54385584413.103725925000000,69501566070.31250,643125606693.54632067661795815,389603286000,6750000000000,24600000000000.00,-6496477679306.4536793233820418,52519,11,259683016,0.118040,6000000,300000,8000,105263455965.60549052998519756,585965224007.29249774264332958,1.0000,23187.757440476190476190476191,0.7569,81175266395.67893755499264476,163712753246.60297648156066767,-82537486850.92403892656802291,673437949784.3541371190905757,1393095249798.9791962142427576,1.1941,0.0575
7,1.0143,4000000000000,3951717670718.2324807410058024,0.0520,0.0100,0.9655,340278748358.24053304687500001,97304098370.11780506152996021,80721789569.33287881943080534,66143921070.67393583025000000,69443575582.81250,653892132951.17765275808576556,389524524000,6750000000000,25100000000000.00,-6485632391048.8223472419142344,51980,12,259631048,0.117997,6000000,300000,8000,105702265517.97454063663658116,588404844241.15082510746828490,1.0000,23186.599702380952380952380952,0.7569,81415958931.87637082487777880,163415391835.41064003748460775,-81999432903.53426921260682895,674263962688.7932610257624732,1390058548144.5400723075708602,1.2299,0.0575
8,1.0164,4000000000000,3943617722314.719211097686398,0.0530,0.0100,0.9607,339228833721.86531052812499999,97093626212.05289194580655386,81057050722.57306742598642263,78216399518.907402960045000000,69386209354.68750,664982119530.08617285996297648,389446572000,6750000000000,25600000000000.00,-6474464452469.9138271400370235,51788,6,259579266,0.117955,6000000,300000,8000,106141829945.38651611382257185,590848661303.49388556527688480,1.0000,23185.441964285714285714285714,0.7569,81657195240.37543479576174076,163117358625.65930060590167637,-81460163385.28386581013993561,675081537804.0063055360968495,1387051803029.3270277972364838,1.2668,0.0575
9,1.0185,4000000000000,3935526187943.5423807225287575,0.0520,0.0100,0.9559,339086809683.82385486067708334,97203864469.69806045306658394,81064071396.01660007972298614,90612692117.95803156702712500,69329044784.37500,677296482451.87154696049377842,389368899000,6750000000000,26100000000000.00,-6462072416548.1284530395062216,51812,12,259527466,0.117913,6000000,300000,8000,106151034824.24715161984112636,590899837055.24628759706960283,1.0000,23186.599702380952380952380952,0.7568,81899010896.38350212530362736,162818609666.28161343088528568,-80919598769.89811130558165832,671308418051.9324697180964200,1388626635281.4008636152369134,1.3048,0.0575
10,1.0206,4000000000000,3927444760925.0183999776662956,0.0530,0.0100,0.9511,338041987479.95241212031250000,96996534976.69540985774242676,81400348181.80141350332232388,103339781891.60260313391942150,69271830906.25000,689050483436.30183861529667214,389291199000,6750000000000,26600000000000.00,-6450240715563.6981613847033279,51534,13,259475945,0.117871,6000000,300000,8000,106591930858.18026537701515867,593351057361.65039455724700776,1.0000,23185.441964285714285714285714,0.7568,82141431534.83652661055685422,162519113286.82841762339689809,-80377681751.99189101284004387,672080690868.6370020322510463,1385664785381.3629979677489537,1.3439,0.0575
11,1.0227,4000000000000,3919374626731.5097137987251229,0.0520,0.0100,0.9464,337897852979.31398148437500001,97109471504.08440701100296088,81408326873.26278880648896809,116408348698.03885898576525409,69214900709.37500,702038900764.07503628763218307,389213917500,6750000000000,27100000000000.00,-6437175016735.9249637123678169,51820,12,259424137,0.117828,6000000,300000,8000,106602391804.54944896345605443,593409216388.24811886278974463,1.0000,23186.599702380952380952380952,0.7568,82384476428.76184542247791934,162218845676.61286152048277021,-79834369247.85101609800485087,668271806072.6037093666243685,1387278164344.0629573000422982,1.3842,0.0575
12,1.0248,4000000000000,3911316645150.4486543670687973,0.0530,0.0100,0.9416,336855367311.35805722317708333,96905207183.83400142648329356,81745520933.89090387997222045,129826767368.48943434985131838,69157708217.18750,714490571014.75989687948391572,389136205500,6750000000000,27600000000000.00,-6424645634485.2401031205160843,51442,14,259372709,0.117786,6000000,300000,8000,107044490487.18605398597328611,595867122980.52595083351049072,1.0000,23185.441964285714285714285714,0.7568,82628160589.84575723183934734,161917788289.58323669776919237,-79289627699.73747946592984503,669005235290.4666462883339016,1384360102626.2000203783327650,1.4258,0.0575
